Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
"Aatchik, Emerald Radian",Insect Druid,6.0,"B, G","When Aatchik enters, create a 1/1 green Insect creature token for each artifact and/or creature card in your graveyard.Whenever another Insect you control dies, put a +1/+1 counter on Aatchik. Each opponent loses 1 life.",,3,3,Insects
Abaddon the Despoiler,Astartes Warrior,5.0,"B, R, U","TrampleMark of Chaos Ascendant — During your turn, spells you cast from your hand with mana value X or less have cascade, where X is the total amount of life your opponents have lost this turn.","Mark of Chaos Ascendant, Trample",5,5,Chaos
Abomination of Llanowar,Elf Horror,3.0,"B, G",Vigilance; menace (This creature can't be blocked except by two or more creatures.)Abomination of Llanowar's power and toughness are each equal to the number of Elves you control plus the number of Elf cards in your graveyard.,"Vigilance, Menace",0,0,Elves
"Aboshan, Cephalid Emperor",Octopus Noble,6.0,U,Tap an untapped Octopus you control: Tap target permanent.{U}{U}{U}: Tap all creatures without flying.,,3,3,Cephalids
"Abuelo, Ancestral Echo",Spirit,3.0,"U, W","Flying, ward {2}{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.","Flying, Ward",2,2,Blink
Acererak the Archlich,Zombie Wizard,3.0,B,"When Acererak enters, if you haven't completed Tomb of Annihilation, return Acererak to its owner's hand and venture into the dungeon.Whenever Acererak attacks, for each opponent, you create a 2/2 black Zombie creature token unless that player sacrifices a creature of their choice.",Venture into the dungeon,5,5,Dungeon
Achilles Davenport,Human Assassin,4.0,"B, U",Freerunning {U}{B} (You may cast this spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.)Menace (This creature can't be blocked except by two or more creatures.)Other Assassins you control get +1/+1.,"Freerunning, Menace",3,3,Assassins
"Adeline, Resplendent Cathar",Human Knight,3.0,W,"VigilanceAdeline's power is equal to the number of creatures you control.Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",Vigilance,0,4,Humans
"Adeliz, the Cinder Wind",Human Wizard,3.0,"R, U","Flying, hasteWhenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.","Flying, Haste",2,2,Wizards
"Adewale, Breaker of Chains",Human Assassin Pirate,3.0,"B, U","When Adéwalé enters, reveal the top six cards of your library. Put an Assassin, Pirate, or Vehicle card from among them into your hand and the rest on the bottom of your library in a random order.Whenever a Vehicle you control deals combat damage to a player, you may return this card from your graveyard to your hand.",,4,1,Pirates
Admiral Beckett Brass,Human Pirate,4.0,"B, R, U","Other Pirates you control get +1/+1.At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.",,3,3,Pirates
"Admiral Brass, Unsinkable",Human Pirate,5.0,"B, R, U","When Admiral Brass enters, mill four cards.At the beginning of combat on your turn, you may return target Pirate creature card from your graveyard to the battlefield with a finality counter on it. It has base power and toughness 4/4. It gains haste until end of turn. (If a creature with a finality counter on it would die, exile it instead.)",Mill,3,3,Pirates
"Adriana, Captain of the Guard",Human Knight,5.0,"R, W","Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)Other creatures you control have melee. (If a creature has multiple instances of melee, each triggers separately.)",Melee,4,4,Knights
"Adrix and Nev, Twincasters",Merfolk Wizard,4.0,"G, U","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)If one or more tokens would be created under your control, twice that many of those tokens are created instead.",Ward,2,2,Tokens
"Aegar, the Freezing Flame",Giant Wizard,3.0,"R, U","Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.",,3,3,Giants
"Aesi, Tyrant of Gyre Strait",Serpent,6.0,"G, U","You may play an additional land on each of your turns.Landfall — Whenever a land you control enters, you may draw a card.",Landfall,5,5,Landfall
"Aeve, Progenitor Ooze",Ooze,5.0,G,"Storm (When you cast this spell, copy it for each spell cast before it this turn. Copies become tokens.)Aeve isn't legendary if it's a token.Aeve enters with a +1/+1 counter on it for each other Ooze you control.",Storm,2,2,Oozes
Agatha of the Vile Cauldron,Human Warlock,2.0,"G, R","Activated abilities of creatures you control cost {X} less to activate, where X is Agatha's power. This effect can't reduce the mana in that cost to less than one mana.{4}{R}{G}: Other creatures you control get +1/+1 and gain trample and haste until end of turn.",,1,1,Activated Abilities
Agent Frank Horrigan,Mutant Warrior,7.0,"B, G","TrampleAgent Frank Horrigan has indestructible as long as it attacked this turn.Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)","Trample, Proliferate",8,6,Infect
"Agrus Kos, Eternal Soldier",Spirit Soldier,4.0,"R, W","VigilanceWhenever Agrus Kos becomes the target of an ability that targets only it, you may pay {1}{R/W}. If you do, copy that ability for each other creature you control that ability could target. Each copy targets a different one of those creatures. ({R/W} can be paid with either {R} or {W}.)",Vigilance,3,4,Mice
Aisha of Sparks and Smoke,Human Warrior,3.0,"R, W","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.){R/W}: Aisha of Sparks and Smoke gains first strike until end of turn.Whenever Aisha deals combat damage, you may cast a sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost.",Prowess,4,2,Extra Combats
"Akawalli, the Seething Tower",Fungus,3.0,"B, G","Descend 4 — As long as there are four or more permanent cards in your graveyard, Akawalli gets +2/+2 and has trample.Descend 8 — As long as there are eight or more permanent cards in your graveyard, Akawalli gets an additional +2/+2 and can't be blocked by more than one creature.",Descend,3,3,Fungi
"Akim, the Soaring Wind",Bird Dinosaur,5.0,"R, U, W","FlyingWhenever you create one or more tokens for the first time each turn, create a 1/1 white Bird creature token with flying.{3}{U}{R}{W}: Creature tokens you control gain double strike until end of turn.",Flying,3,4,Birds
"Akiri, Fearless Voyager",Kor Warrior,3.0,"R, W","Whenever you attack a player with one or more equipped creatures, draw a card.{W}: You may unattach an Equipment from a creature you control. If you do, tap that creature and it gains indestructible until end of turn.",,3,3,Equipment
"Akiri, Line-Slinger",Kor Soldier Ally,2.0,"R, W","First strike, vigilanceAkiri gets +1/+0 for each artifact you control.Partner (You can have two commanders if both have partner.)","Vigilance, First strike, Partner",0,3,Kor
"Akroma, Vision of Ixidor",Angel,7.0,W,"Flying, first strike, vigilance, trampleAt the beginning of each combat, until end of turn, each other creature you control gets +1/+1 if it has flying, +1/+1 if it has first strike, and so on for double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, vigilance, and partner.Partner","Flying, Vigilance, First strike, Partner, Trample",6,6,Templar Knights
Akul the Unrepentant,Scorpion Dragon Rogue,4.0,"B, R","Flying, trampleSacrifice three other creatures: You may put a creature card from your hand onto the battlefield. Activate only as a sorcery and only once each turn.","Flying, Trample",5,5,Sneak Attack
"Alandra, Sky Dreamer",Merfolk Wizard,4.0,U,"Whenever you draw your second card each turn, create a 2/2 blue Drake creature token with flying.Whenever you draw your fifth card each turn, Alandra and Drakes you control each get +X/+X until end of turn, where X is the number of cards in your hand.",,2,4,Wheels
"Alania, Divergent Storm",Otter Wizard,5.0,"R, U","Whenever you cast a spell, if it's the first instant spell, the first sorcery spell, or the first Otter spell other than Alania you've cast this turn, you may have target opponent draw a card. If you do, copy that spell. You may choose new targets for the copy.",,3,5,Spellslinger
