Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
A-Acererak the Archlich,Zombie Wizard,3.0,B,"When Acererak the Archlich enters, if you haven't completed Tomb of Annihilation, return Acererak the Archlich to its owner's hand and venture into the dungeon.Whenever Acererak the Archlich attacks, create a number of 2/2 black Zombie creature tokens equal to the number of opponents you have.",Venture into the dungeon,5,5
"A-Alrund, God of the Cosmos // A-Hakka, Whispering Raven",God // Legendary Creature,5.0,U,Missing Oracle Text,"Scry, Flying",0,0
"Abdel Adrian, Gorion's Ward",Human Warrior,5.0,W,"When Abdel Adrian enters, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way.Choose a Background (You can have a Background as a second commander.)",Choose a background,4,4
A-Bruenor Battlehammer,Dwarf Warrior,4.0,"R, W",Each creature you control gets +2/+0 for each Equipment attached to it.{0}: Attach target Equipment you control to target creature you control. Activate only as a sorcery and only once each turn.,,5,4
"Ace, Fearless Rebel",Human Rebel,4.0,G,"Nitro-9 — Whenever Ace attacks, you may sacrifice an artifact. When you do, put a +1/+1 counter on Ace, then it fights up to one target creature defending player controls.Doctor's companion (You can have two commanders if the other is the Doctor.)","Nitro-9, Fight, Doctor's companion",2,2
"Aclazotz, Deepest Betrayal // Temple of the Dead",Bat God // Land,5.0,B,Missing Oracle Text,"Flying, Lifelink, Transform",0,0
Acolyte of Bahamut,Background,2.0,G,"Commander creatures you own have ""The first Dragon spell you cast each turn costs {2} less to cast.""",,0,0
"Acornelia, Fashionable Filcher",Squirrel,4.0,"B, G","Whenever you cast a spell with a squirrel in its art, you get {A} (an acorn counter).Whenever a Squirrel you control enters or dies, you get {A}.{2}{B}, Pay X {A}: Target creature gets -X/-X until end of turn.{G}, Pay X {A}: Target creature gets +X/+X until end of turn.",,3,3
"Adamaro, First to Desire",Spirit,3.0,R,Adamaro's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.,,0,0
"A-Dorothea, Vengeful Victim // A-Dorothea's Retribution",Spirit // Enchantment,2.0,"U, W",Missing Oracle Text,"Flying, Transform, Enchant, Disturb",0,0
"Adric, Mathematical Genius",Human Artificer,2.0,U,"{2}{U}, {T}: Copy target activated or triggered ability you control. You may choose new targets for the copy.Ultimate Sacrifice — {1}{U}, Sacrifice Adric: Counter target activated or triggered ability.Doctor's companion (You can have two commanders if the other is the Doctor.)","Ultimate Sacrifice, Doctor's companion",1,1
Adun Oakenshield,Human Knight,3.0,"B, G, R","{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.",,1,2
Agent of the Iron Throne,Background,3.0,B,"Commander creatures you own have ""Whenever an artifact or creature you control is put into a graveyard from the battlefield, each opponent loses 1 life.""",,0,0
Agent of the Shadow Thieves,Background,2.0,B,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, put a +1/+1 counter on this creature. It gains deathtouch and indestructible until end of turn.""",,0,0
"Agrus Kos, Spirit of Justice",Spirit Detective,4.0,"R, W","Double strike, vigilanceWhenever Agrus Kos enters or attacks, choose up to one target creature. If it's suspected, exile it. Otherwise, suspect it. (A suspected creature has menace and can't block.)","Vigilance, Suspect, Double strike",2,4
"Agrus Kos, Wojek Veteran",Human Soldier,5.0,"R, W","Whenever Agrus Kos attacks, attacking red creatures get +2/+0 and attacking white creatures get +0/+2 until end of turn.",,3,3
